err_sentence,cor_sentence,error_point,error_type
믄재에 원나라라고나올때 어디의 원나라인지 어떻케 구분하나요?,문제에 원나라라고 나올 때 어디의 원나라인지 어떻게 구분하나요?,,
외 길드가 경쟁과 자유가없는거을 배타적이익이라구하나요?,왜 길드가 경쟁과 자유가 없는 것을 배타적 이익이라고 하나요?,,
저진짜 수학이 실은데 수학과를 가신마스터님 존경합니다.,저 진짜 수학이 싫은데 수학과를 가신 마스터님 존경합니다.,,
일주일에 몇강정두 올리실 예정인지 궁금함미다.,일주일에 몇 강 정도 올리실 예정인지 궁금합니다.,,
혼자 문재를 마니 푸는 습관을들이면좋을거같애요,혼자 문제를 많이 푸는 습관을 들이면 좋을 것 같아요.,,
작년에 바르셀로나 가서 먹은 대구가 아직도 잊히지 않는데 꼭 먹구 와주세요,작년에 바르셀로나 가서 먹은 대구가 아직도 잊히지 않는데 꼭 먹고 와주세요.,,
중학겨 여자는 보통 야구 말고 티볼 아닙니까?,중학교 여자는 보통 야구 말고 티볼 아닙니까?,,
아님 이해 할떄까지 시간제한 없이 풀러야 하나요?,아님 이해할 때까지 시간제한 없이 풀어야 하나요?,,
올해두 교육청기출 강이가나오나요.,올해도 교육청 기출 강의가 나오나요.,,
만일남이실험한연구 결과를 통해사전 조사를 한상황이잇다구...,만일 남이 실험한 연구 결과를 통해 사전 조사를 한 상황이 있다고...,,
볼떄마다 울컥하는 글이에요,볼 때마다 울컥하는 글이에요.,,
그러게도 찾을수있겠니요.,그렇게도 찾을 수 있겠네요.,,
과도한경쟁도 관료제의 폐단이라구 볼수인나요?,과도한 경쟁도 관료제의 폐단이라고 볼 수 있나요?,,
이 생각이 들 땐 수능화학수업을 듣지 말아바요...,이 생각이 들 땐 수능 화학수업을 듣지 말아 봐요...,,
하셧는데 가튼 아파트 내 또래 집단은 왜공동 사회에 속할수없나요.,하셨는데 같은 아파트 내 또래 집단은 왜 공동 사회에 속할 수 없나요.,,
학교끗저면 영어랑 저머지 과목들 더 공부헷습니다,학교 끝나면 영어랑 나머지 과목들 더 공부했습니다.,,
친구야 오늘 발 깨끗이 닦구 자,"친구야, 오늘 발 깨끗이 닦고 자.",,
꾸준함을 갖구기계처럼 공부해서 현역 구려대뚫을게요,꾸준함을 갖고 기계처럼 공부해서 현역 고려대 뚫을게요.,,
끝낸다는게 한번 푼다는게 아니다.,끝낸다는 게 한번 푼다는 게 아니다.,,
생명은 니랑 필요없는거갔다,생명은 너랑 필요 없는 것 같다.,,
부모들은 인터뷰할떄 거짓말 다 헸다.,부모들은 인터뷰할 때 거짓말 다 했다.,,
귤 위치가 항상 가타서 안먹고 전시해놓는 것 처럼 보이는데요,귤 위치가 항상 같아서 안 먹고 전시해놓는 것처럼 보이는데요.,,
만약에 왕이 이상한 사람이면 신하가 견재해야됀다.,만약에 왕이 이상한 사람이면 신하가 견제해야 된다.,,
재가 이미를 부여햇어서 읽는 버릇이있는것같다,제가 의미를 부여해서 읽는 버릇이 있는 것 같다.,,
도형 할랴했는데 지금 할 게 너무 많아서 도형은 나중에하구,도형 할라 했는데 지금 할 게 너무 많아서 도형은 나중에 하고.,,
"안내하시는데요, 그게가능한명확한이유가 궁금함니다.","안내하시는데요, 그게 가능한 명확한 이유가 궁금합니다.",,
올려주시는 단어 칼럼 다 졍리하고 외우고 있어요,올려주시는 단어 칼럼 다 정리하고 외우고 있어요.,,
시간 버리게하려고내는 저 두 유형 진찌 실어요,시간 버리게 하려고 내는 저 두 유형 진짜 싫어요.,,
서버가 안들어가져서 여기에 쳇올리는데 문제 되면 지우겠습니다,서버가 안 들어가져서 여기에 챗 올리는데 문제 되면 지우겠습니다.,,
책에 있는 내용중에 강의에서 설명 안하는 부분이 있나요?,책에 있는 내용 중에 강의에서 설명 안 하는 부분이 있나요?,,
첫 모의고사 긴장하지 말고 화이팅!,첫 모의고사 긴장하지 말고 파이팅!,,
그리구 복지 사회의 형성과 발전에대한문재는 어떡케나오나요?,그리고 복지 사회의 형성과 발전에 대한 문제는 어떻게 나오나요?,,
허용됀다면 외 허용돼나요?,허용된다면 왜 허용되나요?,,
만은 도움 받고잇습니다.,많은 도움 받고 있습니다.,,
이번에 부동산규제랑 코로나랑 맞물리면서 주식쪽에 돈이 풀린거 아닌가 라는 말이 있더라,"이번에 부동산 규제랑 코로나랑 맞물리면서, 주식 쪽에 돈이 풀린 거 아닌가라는 말이 있더라.",,
선생님들 어쩌다가한극어교사를선택했는지모르겟어,선생님들 어쩌다가 한국어 교사를 선택했는지 모르겠어.,,
하는대 수업 구성이좀정확하게 어떡게 진행돼나요.,하는데 수업 구성이 좀 정확하게 어떻게 진행되나요.,,
올해 한번에 간뒤 내년에 줄겨야겠군요?,올해 한 번에 간 뒤 내년에 즐겨야겠군요?,,
사실 노래는 포기 못하겠더라구요,사실 노래는 포기 못하겠더라고요.,,
지금 정말 기죽어가지구 연습하구 잇어,지금 정말 기 죽어가지고 연습하고 있어.,,
그래두 너무 심하게 잡혀서요,그래도 너무 심하게 잡혀서요.,,
"다만, 정밀 도저히 못헐거같으면 다른거 푸세요.","다만, 정말 도저히 못할 거 같으면 다른 걸 푸세요.",,
친구들한테 밥도사고 최근에 슬럼프와서 계속 공부도 안된다.,친구들한테 밥도 사고 최근에 슬럼프 와서 계속 공부도 안된다.,,
정말 보기조은 댓글이내요,정말 보기 좋은 댓글이네요.,,
비문학처럼 추론하는거 나와서 저만 당황한건가요,비문학처럼 추론하는 거 나와서 저만 당황한 건가요?,,
움직이는대상이라는걸 문재플면서 알았습니다.,움직이는 대상이라는 걸 문제 풀면서 알았습니다.,,
아깝지만이책은 버리고선생님의수능 교제를 다시 구매해야할까요?,아깝지만 이 책은 버리고 선생님의 수능 교재를 다시 구매해야 할까요?,,
어문계열 복수전공생도 당연히 있씁니다!,어문계열 복수 전공생도 당연히 있습니다!,,
개인적으로 헌장강이보다 스튜디오를선호한다.,개인적으로 현장 강의보다 스튜디오를 선호한다.,,
법률로정해진내용과 어긋나게 계약을한경우에 법적 불이익이있는지없는지는 어떠케 알수잇나요?,법률로 정해진 내용과 어긋나게 계약을 한 경우에 법적 불이익이 있는지 없는지는 어떻게 알 수 있나요?,,
앞에 부분두 재데로 공부 됐는지도모르겠구그래서 고민입니다.,앞에 부분도 제대로 공부 됐는지도 모르겠고 그래서 고민입니다.,,
성향차이니까 플래너안쓴다구 너무불안해하지말자.,성향 차이니까 플래너 안 쓴다고 너무 불안해하지 말자.,,
공부의지가 떨어지는데나 다시 독서실 갈까싶어.,공부 의지가 떨어지는데 나 다시 독서실 갈까 싶어.,,
오늘 셤도 잘봤길 바라고 내일셤도 화이팅이에요,오늘 시험도 잘 봤길 바라고 내일 시험도 파이팅이에요.,,
주인공을 불러 그가한말을 받아들인다고해써요.,주인공을 불러 그가 한 말을 받아들인다고 했어요.,,
시간이지나면서영어지문을읽으면서 표면만 일구잇다는기분이들어요.,시간이 지나면서 영어 지문을 읽으면서 표면만 읽고 있다는 기분이 들어요.,,
시작하기전에 몇게 여줘볼것이잇어서 글을 올립니다.,시작하기 전에 몇 개 여쭤볼 것이 있어서 글을 올립니다.,,
문장부사 중 양태부사의 위치이동이 자유로운거는 바로 이해가 되는데요,문장부사 중 양태부사의 위치 이동이 자유로운 거는 바로 이해가 되는데요.,,
조만간 하나 더 올리면 조회수 더 올라갈듯요,조만간 하나 더 올리면 조회수가 더 올라갈 듯요.,,
글고기존의 한국사와 달리 필수한국사에서는개념의 양이줄은거같습니다.,그리고 기존의 한국사와 달리 필수 한국사에서는 개념의 양이 줄은 것 같습니다.,,
적당한 지점들을 추측하는대 도움이 되셨던듯 싶네요,적당한 지점들을 추측하는 데 도움이 되셨던듯싶네요.,,
물론 비옥한 땅이라는해석이틀린거은 아니지만 약간 어색하여 초큼더 고민을해보았습니다.,물론 비옥한 땅이라는 해석이 틀린 것은 아니지만 약간 어색하여 조금 더 고민을 해보았습니다.,,
한자를 시험기간때 밖에 안해서 이미 늦었내요,한자를 시험기간 때 밖에 안 해서 이미 늦었네요.,,
"초기 철기가있으면 중기 철기, 후기 철기도인나요?","초기 철기가 있으면 중기 철기, 후기 철기도 있나요?",,
심적으로갈등하지안으면 역할 갈등이아니잖아요.,심적으로 갈등하지 않으면 역할 갈등이 아니잖아요.,,
중학교떄 시험날 들고갔다.,중학교 때 시험날 들고 갔다.,,
열녀춘향수절가설명에서 작품에 작가의 비판 의식이 내재되어 있따,열녀춘향수절가의 설명에서 작품에 작가의 비판 의식이 내재되어 있다.,,
본질적인연관과 구조를해명함으로써 지식을 얻는다구 되어있다,본질적인 연관과 구조를 해명함으로써 지식을 얻는다고 되어 있다.,,
햇는데역삼각형이문화 융합인점이 궁금함니다!,했는데 역삼각형이 문화 융합인 점이 궁금합니다!,,
탐구과목은 웬만하면 보는 게 조타고 생각합니다.,탐구 과목은 웬만하면 보는 게 좋다고 생각합니다.,,
무슨 의민지 바로 알아들었읍니다.,무슨 의민지 바로 알아들었습니다.,,
보구 아예 시행이불가능하다고...,보고 아예 시행이 불가능하다고...,,
능수동은 해석으로 푸는것이라구하셨고해석을하면 기반을 둔 정체성으로 능동인데외 답은수동인가요.,능 수동은 해석으로 푸는 것이라고 하셨고 해석을 하면 기반을 둔 정체성으로 능동인데 왜 답은 수동인가요.,,
지금하와이신혼여행가야하는애들은 걱정이라던데요,지금 하와이 신혼여행 가야 하는 애들은 걱정이라던데요,,
일식현상에 대해 설명하지 안구요,일식 현상에 대해 설명하지 않고요.,,
저두 기븐이 몽글몽글해지는 넘 예쁜 댓글이내요,저도 기분이 몽글몽글해지는 넘 예쁜 댓글이네요.,,
저도 날음대로 분석해볼래요!,저도 나름대로 분석해 볼래요!,,
쪼끔 게으른 저는 실천율에놀라구갑니다,조금 게으른 저는 실천율에 놀라고 갑니다.,,
울고싶은 기분이 뭔지 이해는 가는데 그 기분에 더 집중하면 답답해지기만 해요,울고 싶은 기분이 뭔지 이해는 가는데 그 기분에 더 집중하면 답답해지기만 해요.,,
이런곳들이자동반사적으로 체화되어야한다,이런 것들이 자동반사적으로 체화되어야 한다.,,
만일 과부에관련됀 조항을 남성들이 낸거이라면 과부가됀 여성의 재가까지 생각하게됀 계기가있나요?,만일 과부에 관련된 조항을 남성들이 낸 것이라면 과부가 된 여성의 재가까지 생각하게 된 계기가 있나요?,,
내년엔 삼수생으로 불리지않기윗해 열씸히해야겠어요,내년엔 삼수생으로 불리지 않기 위해 열심히 해야겠어요.,,
블려 가는이 화자를 가르키는게 아니라 바람을 가르치는데 왜 이게 자신의 의지와 관련되나요?,불려 가는 이 화자를 가리키는 것이 아니라 바람을 가리키는데 왜 이것이 자신의 의지와 관련되나요?,,
교재 궁금하시면 따로 문의주시면 답변해드릴게요,교재 궁금하시면 따로 문의하시면 답변해 드릴게요.,,
근데이거하는시기가 참 애매함니다.,근데 이거 하는 시기가 참 애매합니다.,,
꾸역꾸역 안읽었는데다시읽으면서 푸니까 술술풀리니요.,꾸역꾸역 안 읽었는데 다시 읽으면서 푸니까 술술 풀리네요.,,
재가이문재를 풀때 그래프를 그리지않았었으나 절댓값을통해두 식을 구했씁니다.,제가 이 문제를 풀 때 그래프를 그리지 않았었으나 절댓값을 통해 두 식을 구했습니다.,,
재가약간 문명과 동떨어진사라미라서요,제가 약간 문명과 동떨어진 사람이라서요.,,
정말 원색적으로보자면 그렇겠어.,정말 원색적으로 보자면 그렇겠어.,,
"진술한 선지가 옳은사례가있었는지, 그런경우에는 위에서 제시됀사례와 달리 어떤 변수들을 추가적으로고려했는지의 여부가 궁금함미다.","진술한 선지가 옳은 사례가 있었는지, 그런 경우에는 위에서 제시된 사례와 달리 어떤 변수들을 추가적으로 고려했는지의 여부가 궁금합니다.",,
고민끝에 정시에 비중을 더 크게 두기로햇어요,고민 끝에 정시에 비중을 더 크게 두기로 했어요.,,
